Row	OF	Penalties	avgConvergenceRate
Run1	0.00210654227990531	0	0.00422982990512131
Run2	7.60180772641506e-05	0	0.000194237480485228
Run3	2.92264062511927e-05	0	6.88204258373164e-05
Run4	6.61438923901247e-05	0	0.000177998748427355
Run5	0.000151474496404236	0	0.000353074628037088
Run6	0.000334743060474152	0	0.000682226403576724
Run7	0.000127761495563927	0	0.000454006880512589
Run8	6.64341156986215e-06	0	3.12719891370939e-05
Run9	5.10611446787879e-05	0	0.000421463113612903
Run10	0.000219180439281819	0	0.000471221256766597
