Row	OF	Penalties	avgConvergenceRate
Run 1	2.31888696977656e-06	0	3.97369684661335e-05
Run 2	7.58195074220813e-05	0	0.000156896943258648
Run 3	0.000110158393058668	0	0.000233041172590102
Run 4	2.056821809715e-05	0	0.00033136083326394
Run 5	7.96382417844743e-07	0	3.21806634682636e-05
Run 6	3.30562605138085e-05	0	8.12802949093719e-05
Run 7	2.58744777892339e-06	0	0.000102640255992811
Run 8	4.35182236898091e-05	0	0.000968904892069743
Run 9	0.000112303833062988	0	0.000253295565461466
Run10	4.82480874006153e-05	0	0.000126660397029518
