Row	OF	Penalties	avgConvergenceRate
Run1	0.00011387058302037	0	0.000236515396070055
Run2	9.80529866190238e-08	0	4.12408482659997e-05
Run3	1.01697074367246e-06	0	0.000301212113869487
Run4	1.99386233100673e-05	0	0.000105825280708738
Run5	0.000283871423282289	0	0.000879138172969649
Run6	9.96540234020071e-05	0	0.000339978479672454
Run7	0.000129023064674216	0	0.000258373467929156
Run8	5.14821812017119e-05	0	0.000277741229935811
Run9	0.000157307141522289	0	0.00034428843282519
Run10	1.90766341395809e-06	0	5.01156555372205e-05
